,source,target,value,count,step
0,1LaNXgq2ctDEa4fTha6PTo8sucqzieQctq,other1,50179002,29,1
1,1LaNXgq2ctDEa4fTha6PTo8sucqzieQctq,1o9eCBdTC9BzpMmVZohkgBGH5SmDqFwrD,494070000,1,1
2,1LaNXgq2ctDEa4fTha6PTo8sucqzieQctq,18oJspjdkAJ2ZjFszrb5WQCnJzFELntMGh,19887713,1,1
3,1LaNXgq2ctDEa4fTha6PTo8sucqzieQctq,3MC3U7J3NwoSq2nGofk6WSqddXzYrSaKAt,11816674,1,1
4,18oJspjdkAJ2ZjFszrb5WQCnJzFELntMGh,other2,175046340,22,2
5,1o9eCBdTC9BzpMmVZohkgBGH5SmDqFwrD,other2,7693649587,46,2
6,3MC3U7J3NwoSq2nGofk6WSqddXzYrSaKAt,other2,4045171,1,2
7,other1,other2,90880207648,632,2
8,39znAZoRfKgtm2fs4fpdGYix655GYhfBus,31hD8iBGfkwQUSRK9o1SPYcpDBg3BVzeWC,16764255,1,2
9,37xQCJj91uhForrzqcrdw8Xojq185jG5id,3CxsSoYsFwNRRZJgW34A8ZLNoE8pPASFYC,9944524,1,2
10,3GHutgtAmDYhevUb2XDz6byQzk27TPqx1y,39znAZoRfKgtm2fs4fpdGYix655GYhfBus,212124934,1,2
